,CPR_mod,CPR_act,CDR_mod,CDR_act
1,0.0,0.0,0.0,0.0
2,0.0,0.0055170349585,0.0,0.0
3,0.0568622682299,0.0055170349585,0.0,0.0
4,0.330105421547,0.0055170349585,0.00129618262936,0.0
5,0.648430606726,0.998583327488,0.00257810187956,0.0
6,0.95092259059,1.82613857126,0.0464680923254,0.0
7,1.21175924863,1.83855189992,0.120077626649,0.0
8,1.67174337573,1.83855189992,0.314514809152,0.0
9,2.13635294177,1.83855189992,0.494011683418,0.0
10,2.5498727351,1.83864127589,0.798253582219,0.0
11,3.02140375885,1.83864127589,1.03681274567,0.0
12,3.44621493502,1.83864127589,1.41906154419,0.0
13,3.90018256243,11.4473719705,1.89633439044,0.0
14,4.45868844056,11.4473719705,2.31774628587,0.0
15,5.01295645879,11.4473719705,2.86364896636,0.0
16,6.01847169655,11.4473719705,3.36368196511,6.63916124981
17,6.6230359956,11.4473719705,3.83432659997,6.63916124981
18,7.36772110955,18.8360083509,4.40081176684,6.63916124981
19,7.94012522838,18.8360083509,5.00864579436,6.63916124981
20,8.52706009135,18.9932438473,5.63356584416,6.63916124981
21,9.20311952683,18.9932438473,6.40446771127,6.63916124981
22,9.72723722162,20.7956831673,7.18989598835,6.63916124981
23,10.3029091743,20.7956831673,7.87919411133,6.63916124981
24,10.9689827382,20.7956831673,8.63934296399,6.63916124981
25,11.570312672,20.7956831673,9.3263125197,11.8316996597
26,12.2123065854,20.7956831673,9.96079888545,11.8316996597
27,12.7199843626,20.7956831673,10.6785110988,11.8316996597
28,13.737698375,20.7956831673,11.3195609025,11.8316996597
29,14.470057077,20.7956831673,12.0573372209,11.8316996597
30,15.1277190498,20.7956831673,12.7730813567,11.8316996597
31,15.7342440564,20.7956831673,13.4326510167,11.8316996597
32,16.4507983738,20.7956831673,14.096698355,11.8316996597
33,17.0143061697,20.7956831673,14.7162315177,11.8316996597
34,17.6284123465,20.7956831673,15.2898269679,11.8316996597
35,18.1245921103,20.7956831673,15.808956819,11.8316996597
36,18.7560187703,20.7956831673,16.2874283885,11.8316996597
37,19.3643697698,20.7956831673,16.7831930099,11.8316996597
38,19.8457379587,20.7956831673,17.3273848034,11.8316996597
39,20.2319996528,20.7956831673,17.8514049271,11.8316996597
40,20.8763219685,20.7956831673,18.2963319666,11.8316996597
41,21.4154795433,20.7956831673,18.7584817977,11.8316996597
42,21.8924281292,20.7956831673,19.1504825853,11.8316996597
43,22.261744732,20.7956831673,19.5121258509,11.8316996597
44,22.6801070368,20.7956831673,19.8717215202,11.8316996597
45,23.0472003619,20.7956831673,20.2622571833,11.8316996597
46,23.3654815737,20.7956831673,20.6286251304,11.8316996597
47,23.6550060367,20.7956831673,20.9554143282,11.8316996597
48,23.970147231,20.7956831673,21.2578479278,11.8316996597
49,24.1974319694,20.7956831673,21.5304152127,11.8316996597
50,24.4125051131,20.7956831673,21.7973762269,11.8316996597
51,24.5496285773,20.7956831673,22.0332589696,11.8316996597
52,24.8045297809,20.7956831673,22.2337609938,11.8316996597
53,24.9733744975,20.7956831673,22.4299510143,11.8316996597
54,25.0891633303,20.7956831673,22.5963295309,11.8316996597
55,25.1763625865,20.7956831673,22.7182046852,11.8316996597
56,25.2718892587,20.7956831673,22.840699685,11.8316996597
57,25.3360708245,20.7956831673,22.9481741116,11.8316996597
58,25.3716544549,20.7956831673,23.0383533938,11.8316996597
59,25.3895616408,20.7956831673,23.1032584381,11.8316996597
60,25.4859920399,20.7956831673,23.3124602329,11.8316996597
