,LoanID,MOB,Term,Status,Amount,Coupon,ParSpread,ParYield,ModYield,AvgYield,ActYield,ModPrice,AvgPrice,ActPrice
1444893,3160173.0,1.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-3.73636426002,-18.3779159993,-90.7993306346,95.1140807334,95.1140807334,100.0
1444894,3160173.0,2.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,0.924419586671,-12.4474795668,-93.9838817962,102.672274051,102.672274051,100.0
1444895,3160173.0,3.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-2.68587916687,-19.9470308301,-96.5134248433,96.5733483892,96.5733483892,100.0
1444896,3160173.0,4.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-9.12099882355,-24.3249836668,-98.3039465315,87.1623739308,87.1623739308,100.0
1444897,3160173.0,5.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-2.15706933126,-18.9673468545,-99.3678467555,97.4693660987,97.4693660987,100.0
1444898,3160173.0,6.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-5.88571827046,-21.2870678962,-99.8468690342,92.0529269475,92.0529269475,100.0
1444899,3160173.0,7.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,1.25184762685,-11.3314477055,-99.9826377105,103.193404649,103.193404649,100.0
1444900,3160173.0,8.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-6.43459910352,-22.854097199,-99.9995678394,91.1799323906,91.1799323906,100.0
1444901,3160173.0,9.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,1.60641505573,-9.99145343579,-99.999999742,103.639950147,103.639950147,100.0
1444902,3160173.0,10.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-3.61382319799,-15.6617374789,-100.0,95.9482069484,95.9482069484,100.0
1444903,3160173.0,11.0,60.0,0.0,18000.0,23.28,-2.19495049192,-0.224150491917,-56.1254977561,-67.2546522304,,42.1700451157,42.1700451157,100.0
1444904,3160173.0,12.0,60.0,1.0,18000.0,23.28,-2.19495049192,-0.224150491917,-61.0903625751,,,42.842555408,42.842555408,100.0
1444905,3160173.0,13.0,60.0,2.0,18000.0,23.28,-2.19495049192,-0.224150491917,-60.0026326949,,,44.3820557398,44.3820557398,100.0
1444906,3160173.0,14.0,60.0,3.0,18000.0,23.28,-2.19495049192,-0.224150491917,-53.9788728765,,,43.6255719265,43.6255719265,100.0
