,NewOrig_m,BegBal_m,PrinPaid_m,PrinPrepaid_m,Defs_m,EndBal_m,IntPaid_m,CPR_m,CDR_m,NewOrig_a,BegBal_a,PrinPaid_a,PrinPrepaid_a,Defs_a,EndBal_a,IntPaid_a,CPR_a,CDR_a
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,179656.87,179656.87,1797.48808694,0.0,0.0,177859.381913,3070.02220342,0.0,0.0,179656.87,179656.87,1797.53,200.0,0.0,177659.34,3070.02,0.0011132332429,0.0
3,177659.34,355518.721913,3633.18514284,2061.33434563,0.0,349824.202425,6045.8072442,0.00579810349941,0.0,177659.34,355318.68,3663.42,3.41060513165e-13,0.0,351655.26,6071.68,9.59872172116e-19,0.0
4,175827.63,525651.832425,5484.7108505,9905.43490744,46.9883783268,510214.698288,8886.19147903,0.018844098501,8.93906868165e-05,175827.63,527482.89,5586.87,1.70530256582e-13,0.0,521896.02,9015.87,3.23290593525e-19,0.0
5,173965.34,684180.038288,7284.83769656,11539.7197072,46.4713114868,665309.009573,11460.4149858,0.0168664957488,6.79226356897e-05,173965.34,695861.36,7573.48,36000.0,0.0,652287.88,11896.84,0.0517344431943,0.0
6,163071.97,828380.979573,8985.63454742,10965.7446849,1591.07168166,806838.528659,13682.372793,0.0132375621306,0.00192070040343,163071.97,815359.85,10583.7,30000.0,0.0,774776.15,13754.05,0.0367935703481,0.0
7,154955.23,961793.758659,10680.8605053,9455.68262686,2668.44545585,938988.770071,15717.9301002,0.00983129963334,0.00277444663352,154955.23,929731.38,13685.1,450.0,0.0,915596.28,15520.14,0.000484010768788,0.0
8,152599.38,1091588.15007,12450.4397765,16675.0484837,7048.61158087,1055414.05023,17728.0690091,0.0152759522744,0.00645720785849,152599.38,1068195.66,16251.41,1.19371179608e-12,0.0,1051944.25,17821.58,1.11750294518e-18,0.0
9,150277.75,1205691.80023,14191.9373704,16842.7269187,6507.00514374,1168150.1308,19576.2224607,0.0139693468227,0.00539690586143,150277.75,1202222.0,18895.84,1.36424205266e-12,0.0,1183326.16,20044.64,1.13476716668e-18,0.0
10,147915.77,1316065.9008,15871.2356261,14990.6533652,11029.1814748,1274174.83033,21200.022018,0.0113905035881,0.0083804173242,147915.77,1331241.93,17785.71,3.24,0.0,1313452.98,22180.05,2.43381757064e-06,0.0
11,145939.22,1420114.05033,17625.4769515,17093.6391484,8648.09323307,1376746.841,22798.0414163,0.0120368072863,0.00608971739351,145939.22,1459392.2,19015.1,0.0,0.0,1440377.1,24316.8,0.0,0.0
12,144037.71,1520784.551,19418.7049951,15399.9813077,13857.0373903,1472108.8273,24326.6679901,0.0101263399195,0.00911176890983,144037.71,1584414.81,19068.94,1.25055521494e-12,0.0,1565345.87,22982.85,7.89285234552e-19,0.0
