,NewOrig_m,BegBal_m,PrinPaid_m,PrinPrepaid_m,Defs_m,EndBal_m,IntPaid_m,CPR_m,CDR_m,NewOrig_a,BegBal_a,PrinPaid_a,PrinPrepaid_a,Defs_a,EndBal_a,IntPaid_a,CPR_a,CDR_a
13,142304.17,1614412.9973,21036.6330256,16456.9422097,17301.7880016,1559617.63407,25492.1881686,0.010193762214,0.0107170767521,142304.17,1707650.04,21090.84,348329.52,0.0,1338229.68,24739.44,0.203981794771,0.0
14,111519.14,1671136.77407,22403.8997773,20246.5955839,15276.7527703,1613209.52594,26245.2291467,0.0121154628981,0.00914153348027,111519.14,1449748.82,18089.37,1.47792889038e-12,0.0,1431659.45,19643.13,1.01943789848e-18,0.0
15,110127.65,1723337.17594,23824.5011063,20092.9674145,19789.7125757,1659629.99484,26980.8820443,0.0116593361386,0.0114833666052,110127.65,1541787.1,19781.44,2.38742359215e-12,0.0,1522005.66,20853.28,1.54847812137e-18,0.0
16,108714.69,1768344.68484,25314.4142782,36451.2911492,18126.8743992,1688452.10501,27698.4617604,0.0206132274221,0.010250758551,108714.69,1630720.35,21522.75,8.52651282912e-13,240678.6,1368519.0,22014.75,5.22867874257e-19,0.147590357844
17,91234.6,1779686.70501,26544.7799358,21916.2758111,17061.5063493,1714164.14292,27986.6240726,0.0123146819883,0.00958680328467,91234.6,1459753.6,23312.48,1.81898940355e-12,0.0,1436441.12,23127.04,1.24609345272e-18,0.0
18,89777.57,1803941.71292,27606.1364702,26995.8453973,20535.8556227,1728803.87543,28050.6948848,0.0149649210969,0.0113838797982,89777.57,1526218.69,25153.54,267848.09,0.0,1233217.06,24188.79,0.175497844283,0.0
19,72542.18,1801346.05543,28381.6607738,20750.4256593,22034.8079028,1730179.16109,27733.5335766,0.0115193999492,0.0122324124431,72542.18,1305759.24,22585.14,0.0,0.0,1283174.1,19774.98,0.0,0.0
20,71287.45,1801466.61109,29298.3302954,21277.1848422,22654.1993844,1728236.89657,27517.2528096,0.0118110348042,0.0125754200743,71287.45,1354461.55,24192.89,5700.0,0.0,1324568.66,20520.19,0.00420831436669,0.0
21,69714.14,1797951.03657,30351.820543,24508.0714757,27946.238257,1715144.90629,27422.0259864,0.0136311117362,0.0155433811536,69714.14,1394282.8,23230.6,0.0,0.0,1371052.2,18151.8,0.0,0.0
22,68552.61,1783697.51629,31070.2018544,18999.9772971,28472.8403205,1705154.49682,26949.3494357,0.0106520175778,0.0159628188415,68552.61,1439604.81,24725.4,65340.87,0.0,1349538.54,18726.33,0.0453880603525,0.0
23,64263.74,1769418.23682,31926.1685345,20868.8890673,24987.9918531,1691635.18737,26631.7347997,0.0117942093243,0.0141221511868,64263.74,1413802.28,24720.52,0.0,0.0,1389081.76,18131.96,0.0,0.0
24,63140.08,1754775.26737,32786.6898661,24146.0700868,27556.4268986,1670286.08051,26249.438826,0.0137602065267,0.0157036786482,63140.08,1452221.84,26214.02,0.0,0.0,1426007.82,18585.61,0.0,0.0
25,62000.34,1732286.42051,33661.8757623,21799.0256854,24903.5781313,1651921.94094,25902.9971761,0.0125839615362,0.0143761319355,62000.34,1488008.16,27745.92,0.0,188236.56,1272025.68,19002.0,0.0,0.126502370793
26,53001.07,1704923.01094,34511.3592265,23273.150098,23000.9913123,1624137.5103,25481.981581,0.0136505577957,0.0134909266663,53001.07,1325026.75,29316.5,0.0,0.0,1295710.25,19379.0,0.0,0.0
27,51828.41,1675965.9203,35215.3130412,18404.0079877,26018.0411663,1596328.5581,24921.7486504,0.010981134977,0.0155242065791,51828.41,1347538.66,30926.74,0.0,0.0,1316611.92,19716.84,0.0,0.0
28,50638.92,1646967.4781,36089.0727161,36893.5132732,23238.9248405,1550745.96727,24458.4641113,0.0224008754051,0.0141101297685,50638.92,1367250.84,32578.47,3.06954461848e-12,0.0,1334672.37,20013.48,2.24504862508e-18,0.0
29,49432.31,1600178.27727,36414.297456,26548.9962457,26745.3921866,1510469.59139,23534.7114244,0.0165912739991,0.0167140077868,49432.31,1384104.68,34270.6,0.0,0.0,1349834.08,20268.36,0.0,0.0
30,48208.36,1558677.95139,36956.6717805,23841.1384991,25946.6956875,1471933.44542,22837.6688983,0.0152957437281,0.0166466046847,48208.36,1398042.44,36005.82,0.0,0.0,1362036.62,20481.25,0.0,0.0
31,46966.78,1518900.22542,37657.7305622,21987.3541194,23910.2947502,1435344.84599,22256.8769039,0.0144758383411,0.015741846864,46966.78,1409003.4,37784.1,0.0,0.0,1371219.3,20650.5,0.0,0.0
32,45707.31,1481052.15599,38433.6082501,25976.0658717,24072.6166609,1392569.8652,21687.0754078,0.0175389271517,0.0162537264901,45707.31,1416926.61,39607.77,0.0,0.0,1377318.84,20775.27,0.0,0.0
33,44429.64,1436999.5052,39051.7246537,20427.9218845,22458.917421,1355060.94125,20986.0007898,0.0142156777442,0.0156290362938,44429.64,1421748.48,41475.52,0.0,0.0,1380272.96,20854.72,0.0,0.0
34,43133.53,1398194.47125,39628.5134012,22262.181823,20793.6130351,1315510.16299,20275.4470995,0.015922092585,0.0148717603043,43133.53,1423406.49,34409.76,0.0,0.0,1388996.73,17138.22,0.0,0.0
35,42090.81,1357600.97299,40385.3303412,17987.1894044,18819.1611996,1280409.29204,19675.9563996,0.0132492461057,0.0138620710902,42090.81,1431087.54,45231.22,3.86535248253e-12,0.0,1385856.32,21638.28,2.70098954431e-18,0.0
36,40760.48,1321169.77204,41208.1685601,22890.072829,17345.243345,1239726.28731,19081.0684754,0.0173256104654,0.0131287013312,40760.48,1426616.8,47237.4,3.97903932026e-12,0.0,1379379.4,20937.0,2.78914374221e-18,0.0
37,39410.84,1279137.12731,41913.9134049,22053.5488386,17972.1399308,1197197.52513,18462.5295574,0.0172409574922,0.0140502058358,39410.84,1418790.24,49291.56,0.0,0.0,1369498.68,20829.96,0.0,0.0
38,38041.63,1235239.15513,42499.7358133,17450.2497261,19727.6906013,1155561.47899,17726.1656293,0.0141270211955,0.0159707458425,38041.63,1407540.31,51396.33,0.0,0.0,1356143.98,20673.38,0.0,0.0
39,29026.76,1184588.23899,42964.4358079,14002.5102996,18996.4402121,1108624.85267,16961.9332207,0.0118205717723,0.0160363234978,29026.76,1103016.88,42662.6,2.16004991671e-12,0.0,1060354.28,16694.92,1.95831084354e-18,0.0
40,27904.06,1136528.91267,43652.4563044,23357.5578395,16129.2086367,1053389.68989,16282.7689919,0.0205516618003,0.0141916395236,27904.06,1088258.34,44440.11,0.0,0.0,1043818.23,16479.84,0.0,0.0
41,21111.91,1074501.59989,43629.7795298,19545.1933436,16753.5581927,994573.068825,15333.0729763,0.0181900086008,0.015591934153,21111.91,844476.4,35822.4,0.0,0.0,808654.0,14338.4,0.0,0.0
42,20216.35,1014789.41882,43796.1571893,17290.0331273,14210.5602218,939492.668286,14538.3844846,0.017038050266,0.0140034572279,20216.35,828870.35,37339.52,2.33058017329e-12,0.0,791530.83,14075.3,2.81175478565e-18,0.0
43,19305.63,958798.298286,43784.6938271,13388.2277528,13110.0588749,888515.317832,13687.3305894,0.0139635497651,0.0136734273499,19305.63,810836.46,38897.88,0.0,0.0,771938.58,13771.38,0.0,0.0
44,6203.9,894719.217832,43449.0707857,15166.2009743,13035.8307303,823068.115341,12688.2122518,0.0169507938044,0.0145697448657,6203.9,266767.7,14057.56,0.0,0.0,252710.14,3621.46,0.0,0.0
45,5876.98,828945.095341,42984.5030506,13307.630925,14157.4474704,758495.513895,11699.5507025,0.0160536940261,0.0170788723523,5876.98,258587.12,14579.84,0.0,0.0,244007.28,3510.32,0.0,0.0
46,5545.62,764041.133895,42728.5721133,11538.1256103,13281.3349888,696493.101183,10818.8838741,0.0151014455877,0.017383010416,5545.62,249552.9,15113.7,0.0,0.0,234439.2,3387.6,0.0,0.0
47,5209.76,701702.861183,42152.3846568,10495.6544669,11846.5516456,637208.270414,9837.74534088,0.0149574058302,0.0168825756611,5209.76,239648.96,15659.32,0.0,0.0,223989.64,3253.12,0.0,0.0
48,0.0,637208.270414,41542.9229562,11424.2957197,10963.6281734,573277.423565,8934.61160126,0.0179286683022,0.0172057217121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,573277.423565,40788.8575267,8239.38003497,9880.93376091,514368.252242,8034.32561244,0.0143724132441,0.0172358675831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,514368.252242,40072.5313267,7796.69316185,9677.69884558,456821.328908,7172.81177706,0.0151578040205,0.0188147281707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,456821.328908,39389.5075812,4970.91155545,8551.06934955,403909.840422,6351.38089487,0.0108815224704,0.0187186298197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,403909.840422,39087.339155,9240.51435519,7268.47031824,348313.516593,5626.6688256,0.0228776658314,0.0179952791213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,348313.516593,38075.9397993,6120.84998031,7112.15433753,297004.572476,4808.04133954,0.0175728178457,0.0204188295852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,297004.572476,37388.5145343,4197.50223417,6031.44688584,249387.108822,4096.27768042,0.0141327865736,0.0203075893262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,249387.108822,36634.9659854,3161.09130646,4418.13964122,205172.911889,3413.84058257,0.012675439887,0.017715990462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,205172.911889,36075.4867842,3462.97142682,4440.60988395,161193.843794,2775.78441404,0.0168783071554,0.0216432561349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,161193.843794,35232.5000513,2326.66881209,3896.09373189,119738.581198,2148.99916942,0.0144339805872,0.0241702390128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,119738.581198,34493.6045457,1289.9548624,3269.12128918,80685.9005012,1566.65582761,0.0107730929287,0.0273021548815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,80685.9005012,33853.0341276,649.159778389,2352.89588488,43830.8107104,1015.29483446,0.00804551692869,0.0291611777308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,43830.8107104,32751.2291519,3495.7327559,7583.84880261,1.11697318061e-11,485.187937804,0.0797551471041,0.173025519713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
